,code,net_mf_amount
密集调研,TS0,-37955.31999999999
南北船合并,TS1,201.39999999999986
5G,TS2,-232665.31
机场,TS3,5653.8
高价股,TS4,-7898.74
烧碱,TS5,-9674.04
AH溢价股,TS6,1143.42
保险,TS7,87535.59999999999
PVC,TS8,-119.6000000000003
啤酒,TS9,-1232.0899999999997
火电,TS10,2748.7799999999997
银行,TS11,216492.65
碳纤维,TS12,4201.1900000000005
安邦系,TS13,39844.01999999999
特高压,TS14,-94439.41000000002
光通信,TS16,-137112.64
草甘膦,TS17,2104.05
高速公路,TS18,1469.9899999999998
有色-铝,TS19,1969.4799999999977
有色-锆,TS20,-2399.2200000000003
主题公园,TS21,-1911.77
白马股,TS22,-956.7000000000016
雄安-地产,TS23,-10814.14
OLED,TS24,-147993.57000000004
MSCI,TS25,5190.3800000000265
健康中国,TS26,-132994.45
养老金持股,TS27,-45652.530000000006
水电,TS28,5553.679999999999
环氧丙烷,TS29,-2604.09
PCB板,TS30,-70698.96999999999
煤炭,TS31,-18808.68
中字头,TS32,59352.89000000001
血制品,TS33,-33761.61
钢铁,TS34,-13390.859999999995
油服,TS35,-31753.140000000003
内蒙古,TS36,16507.97
券商,TS37,131513.52000000002
有色-锌,TS38,34787.09
人民币升值受益,TS39,-3438.419999999999
阿里巴巴概念股,TS40,-176336.93
有色-锑,TS41,738.1500000000001
海工装备,TS42,10268.169999999998
新能源整车,TS43,-52172.18
涤纶,TS44,8356.42
振兴东北,TS45,-6735.869999999999
有色-镁,TS46,-195.97000000000048
油气改革,TS47,-43188.71000000001
一带一路,TS48,-131386.37999999998
新进指数成份股,TS49,-4788.569999999992
玻纤,TS50,-5606.69
大消费,TS51,-54153.950000000004
被动元件,TS52,-57816.11000000001
北汽新能源,TS53,-55652.909999999996
可燃冰,TS54,-24228.739999999998
东盟博览会,TS55,-14974.16
电改,TS56,7539.299999999999
石墨电极,TS57,17777.25
北京城市规划,TS58,-9649.220000000001
特斯拉,TS59,-62868.18000000001
赛马,TS60,-19820.14
