,code,net_mf_amount
航运,TS61,953.8400000000005
金改,TS62,68472.15
超级高铁,TS63,-9804.64
农药,TS64,-5790.970000000002
汽车整车,TS65,-59833.55999999999
次新股,TS66,-22069.970000000005
安徽国企改革,TS67,-42606.36
水务,TS68,-4800.2699999999995
混改,TS69,-23541.07
PD-1抑制剂,TS70,-51042.71
二胎,TS71,-67830.83
固废处理,TS72,-20146.35
医药商业,TS73,-24781.96
教育,TS74,-76073.51000000001
军工混改,TS75,-7837.479999999999
海底捞概念股,TS76,-29240.090000000004
硅锰,TS78,4062.87
高送转-预期,TS79,18123.06
央企改革,TS80,-89560.66
有机硅,TS81,-4498.4800000000005
民营医院,TS82,-58196.329999999994
华为产业链,TS83,-366093.93999999994
蔚来汽车概念股,TS84,-88267.01000000001
甲醇,TS85,-7438.02
军工研究所,TS86,-50148.560000000005
港口,TS87,-1279.1799999999998
社保重仓,TS88,-144944.91000000003
美团概念股,TS89,308.2299999999995
纯碱,TS90,-2002.1399999999999
转基因,TS91,-49553.30999999999
旅游,TS92,-17209.28
福建自贸区,TS93,-21326.329999999998
核电,TS94,-1679.6100000000022
乡村振兴,TS95,-101792.62
调味品,TS96,-28990.02
大飞机,TS97,-94577.38000000002
回购,TS98,-325355.48
通用航空,TS99,-31548.64
白酒,TS100,103529.89000000001
汽车销售,TS101,2041.1299999999999
重庆国企改革,TS102,-3238.5299999999997
制冷剂,TS103,-3957.3
航母,TS104,-12655.89
新零售,TS105,-80186.98000000001
饲料,TS106,-70368.64000000001
空铁WiFi,TS107,-23991.840000000004
有色金属,TS108,47100.270000000004
养猪,TS109,-120797.50000000001
芬太尼概念,TS110,-10068.369999999999
业绩预增,TS111,-108202.67000000001
参股券商,TS112,-26277.079999999994
园林,TS113,20703.13
宝能系,TS114,33333.64
破净股,TS115,-124852.45000000001
饮料,TS116,-37125.35
风电,TS117,-52805.61
粤港澳大湾区,TS118,-29164.679999999997
棉花,TS119,-30141.84
中科院系,TS120,-30033.440000000002
页岩气,TS121,-40720.340000000004
重卡,TS122,-15405.99
供应链金融,TS123,14310.969999999996
保健品,TS124,-56328.38
锦纶（尼龙）,TS125,-698.8900000000001
染料,TS126,-7352.170000000001
军工,TS127,-198622.97999999998
纺织服装,TS128,-48550.32
天然气,TS129,-6702.079999999999
军民融合,TS130,-152433.15999999997
石油化工,TS131,-6830.629999999997
浙江国企改革,TS132,-3310.7699999999977
无人机,TS133,-144752.52000000002
有色-镍,TS134,13373.1
养鸡,TS135,-20959.67
兜底式增持,TS136,-24059.82
有色-钴,TS137,13872.96
汽车零部件,TS138,-172754.58
有色-钼,TS139,10584.07
炭黑,TS140,-2094.0
大基建,TS141,-53901.46000000001
物联网,TS142,-234381.49000000005
百度概念股,TS143,-99155.06000000001
筹码集中,TS144,-6784.179999999999
宁德时代概念股,TS145,-67306.18
光伏,TS146,-126502.04000000001
信托,TS147,73092.64
储能,TS148,-103492.01999999999
装配式建筑,TS149,7013.390000000002
煤化工,TS150,-9395.23
脑科学,TS151,-18411.5
食品,TS152,-248501.38999999998
无人驾驶,TS153,-218027.11
债转股-AMC,TS154,7570.229999999998
湖南国企改革,TS155,-21976.62
新疆,TS156,-48604.10999999999
雄安-园林环保,TS157,11279.470000000001
雄安-金融,TS158,510.28000000000037
中韩自贸区,TS159,-16503.59
恒大概念股,TS160,8037.549999999999
智慧物流,TS161,-51505.450000000004
谷歌概念股,TS162,-16850.52
雄安-智慧城市,TS163,-40681.44
化肥,TS164,-31079.29
特色小镇,TS165,-4413.219999999993
养老产业,TS166,36727.189999999995
厨卫家电,TS167,174.99999999999977
农垦,TS168,-47381.53
农机,TS169,-33745.15
定增破发,TS170,-50163.829999999994
稀土磁材,TS171,40462.21
休闲食品,TS172,-52931.68
小家电,TS173,16566.93
有色-钨,TS174,20181.47
工业自动化,TS175,-63235.57
智能仪表,TS176,-90.12000000000108
雄安-建材,TS177,-5173.5
乳业（奶粉）,TS178,-77840.11
山西国企改革,TS179,-4866.53
水泥,TS180,2482.2999999999984
地下管廊,TS181,-11929.800000000001
轮胎,TS182,-8692.84
铁总混改,TS183,2442.6800000000007
机械,TS184,-9409.039999999997
环杭州湾大湾区,TS185,-5745.56
高质押率,TS186,-110879.7
雄安-公共服务,TS187,-6698.39
河南自贸区,TS188,234.83999999999992
山东国企改革,TS189,24518.390000000007
医药,TS190,-403129.30000000005
太赫兹,TS191,-11244.94
万达系,TS192,-20992.06
白色家电,TS193,-2917.420000000001
白糖,TS194,-14860.77
水利,TS195,-26569.020000000004
中药,TS196,-116540.51999999999
智慧停车,TS197,-10098.079999999998
大气治理,TS198,-19932.59
房地产,TS199,26343.799999999996
创新药,TS200,-202713.77
海绵城市,TS201,-12584.34
北斗导航,TS202,-99981.98
铁矿石,TS203,-649.3500000000004
网络安全,TS204,-62539.36
家电,TS205,7430.21
土地流转,TS206,-75861.14000000001
化学药,TS207,-212499.33000000002
锂电池,TS208,-88094.77999999998
海南自由贸易港,TS209,-74233.35
PPP,TS210,-34938.79
小米概念股,TS211,-75663.42
疫苗,TS212,-101609.03
林业,TS213,-9003.759999999998
磷化工,TS214,-4917.509999999999
燃料电池,TS215,-100651.43000000002
量子通信,TS216,-47652.920000000006
环保,TS218,-70981.91
3D打印,TS219,-6112.859999999995
数字中国,TS220,10023.989999999994
智能制造,TS221,-312155.9
创业板人气股,TS222,-44678.149999999994
直播/短视频,TS223,-39495.229999999996
冷链,TS224,-63407.35999999999
雄安新区,TS225,-54890.91
新疆国企改革,TS226,-48153.399999999994
互联网金融,TS227,-108578.89000000001
有色-钒,TS228,-16225.029999999999
无线充电,TS229,-58566.56999999999
维生素,TS230,-19865.039999999997
上海国企改革,TS231,-27022.82
新能源汽车,TS232,-193855.2
基因测序,TS233,-46288.17
雄安-工程基建,TS234,-14360.16
京津冀,TS235,-55263.13
快递物流,TS236,-5072.779999999999
医疗器械,TS237,-191712.52
移动支付,TS238,-76350.87000000001
大数据,TS239,-236320.23
油品升级,TS240,-15251.64
低价股,TS241,-199141.3
醋酸,TS242,-1097.9299999999998
流感,TS243,-130765.97
药品信息化追溯,TS244,-16077.3
有色-铜,TS245,12328.169999999998
云计算,TS246,-159512.13
进口博览会,TS247,-5205.850000000001
人民币贬值受益,TS248,18990.579999999998
举牌股,TS249,-61570.67999999999
住房租赁,TS250,36937.720000000016
高送转,TS251,-9090.75
自贸区,TS252,-111291.15
耐火材料,TS253,-1778.0299999999997
人工智能,TS254,-175118.67
草铵膦,TS255,8132.450000000001
造纸,TS256,-4836.610000000001
石墨烯,TS257,-27263.630000000005
互联网医疗,TS258,-74773.18999999999
眼科,TS259,-51384.829999999994
污水处理,TS260,-50695.07
区块链,TS261,-119030.35
玻璃,TS262,-10741.630000000001
足球,TS263,-33265.20999999999
工业互联网,TS264,-94868.32
指纹识别,TS265,-64639.94
半导体,TS266,-164152.47000000003
3D感应,TS267,-116112.74
无人商店,TS268,-47710.37
智慧城市,TS269,-185506.32
农业种植,TS270,-66067.73999999999
3D玻璃,TS271,-28039.239999999998
印染,TS272,-2753.59
西藏,TS273,5742.85
雄安-周边,TS274,3229.8999999999996
跨境电商,TS275,-8938.980000000001
粘胶短纤,TS276,-4681.779999999999
国产软件,TS277,-156954.72
智能音箱,TS278,-46614.200000000004
天津国企改革,TS279,-4425.71
自由贸易港,TS280,-76685.08000000002
广西,TS281,-32597.43
股权转让,TS282,-284521.1
电竞,TS283,-29670.210000000003
彩票,TS284,-29816.219999999998
钛白粉,TS285,-10077.6
复牌股,TS286,-7463.679999999999
精准医疗,TS287,-38926.47
京东金融概念股,TS288,13790.71
民爆,TS289,-2956.08
VR&AR,TS290,-134283.49
腾讯概念股,TS291,-90078.70000000001
家具家居,TS292,-81018.00000000001
苹果产业链,TS293,-105446.87
高校系,TS294,-26729.910000000003
国产芯片,TS295,-146690.52
滴滴出行概念股,TS296,-18861.120000000003
共享经济,TS297,-73010.9
期货概念,TS298,36626.840000000004
黑色家电,TS299,-644.4499999999995
地热,TS300,-2919.2200000000003
天津自贸区,TS301,-4433.2699999999995
迈瑞医疗概念股,TS302,-5221.26
医疗信息化,TS303,-29179.35
动物保健,TS304,-68370.69
电子发票,TS305,-13010.259999999998
股权争夺,TS306,-13075.309999999998
国产操作系统,TS307,-116895.29000000001
高铁轨交,TS308,-122676.73000000001
体外诊断,TS309,-81524.65999999999
机器视觉,TS310,-95241.47
国资入股,TS311,-203896.16999999998
包装印刷,TS312,-15964.310000000001
智慧安防,TS313,-165394.52
资产重组,TS314,-54244.10000000001
独角兽,TS315,-124069.50999999998
年报季报,TS316,-5504.020000000001
机器人,TS317,-84083.77000000002
LED,TS318,-136709.63
碳交易,TS319,22768.14
手势识别,TS320,-22724.93
ST股,TS321,-31224.199999999997
蚂蚁金服概念股,TS322,35017.299999999996
充电桩,TS323,-66163.8
游戏,TS324,-58382.969999999994
装修装饰,TS325,-33391.090000000004
有色-钛,TS326,-6877.0599999999995
手游,TS327,-60504.799999999996
虹膜识别,TS328,-60265.66000000001
广电,TS329,-3816.7699999999995
深圳本地股/深汕合作,TS330,-10890.370000000006
化妆品,TS331,-11059.83
体育产业,TS332,-23437.88
影视,TS333,-39333.41
壳公司,TS334,-51986.58
黄金,TS335,74179.06
海南,TS336,-49787.659999999996
知识产权,TS337,-36495.83
燃料乙醇,TS338,-7655.249999999999
ST摘帽,TS339,-17250.83
破发次新,TS340,-922.7299999999998
上海自由贸易港,TS341,-2451.73
民航,TS342,-11714.990000000002
宁夏,TS343,-16572.72
人脸识别,TS344,-113746.58
强势人气股,TS345,-84425.67
橡胶,TS346,-3478.47
动漫,TS347,-19918.6
苹果期货,TS348,1972.2400000000002
无人银行,TS349,-12190.56
富勒烯,TS350,-27844.61
科创板概念股,TS351,-84098.26999999999
创投,TS352,-121497.45999999999
电子车牌,TS353,-11451.47
雄安-设计,TS354,-6387.759999999999
工业大麻,TS355,-53260.95
透明工厂,TS356,-8146.21
人造肉,TS357,-86446.19
垃圾分类,TS358,-42671.25
科创板,TS359,-93031.16
科创板对标,TS360,-7463.530000000001
新型病毒,TS361,-207118.63
