,code,net_mf_amount
太赫兹,TS191,-26149.789999999997
万达系,TS192,-32585.239999999998
白色家电,TS193,-22742.120000000003
白糖,TS194,626.3699999999999
水利,TS195,-30959.839999999997
中药,TS196,-106151.56999999998
智慧停车,TS197,-22248.359999999997
大气治理,TS198,-44414.38000000001
房地产,TS199,-33302.09
创新药,TS200,-284077.73
海绵城市,TS201,-29294.009999999995
北斗导航,TS202,-14319.240000000013
铁矿石,TS203,205.58999999999952
网络安全,TS204,-292912.43
家电,TS205,-16021.680000000006
土地流转,TS206,-41655.18999999999
化学药,TS207,-311568.66000000003
锂电池,TS208,-87651.03999999996
海南自由贸易港,TS209,-19494.920000000002
PPP,TS210,-75849.11
小米概念股,TS211,-232051.68
疫苗,TS212,-159611.96000000002
林业,TS213,2033.21
磷化工,TS214,-11439.239999999998
燃料电池,TS215,-95833.17000000001
量子通信,TS216,-55399.51
环保,TS218,-127644.62
3D打印,TS219,-27875.96
数字中国,TS220,-204171.32
智能制造,TS221,-558700.54
创业板人气股,TS222,-203138.93
直播/短视频,TS223,-75976.44
冷链,TS224,-56658.130000000005
雄安新区,TS225,-198265.94
新疆国企改革,TS226,-42743.13999999999
互联网金融,TS227,-283421.33999999997
有色-钒,TS228,-10733.449999999999
无线充电,TS229,19135.690000000002
维生素,TS230,-32848.25
上海国企改革,TS231,-31607.810000000005
新能源汽车,TS232,-229112.61000000002
基因测序,TS233,-120936.68999999999
雄安-工程基建,TS234,-95661.04999999999
京津冀,TS235,-129419.24999999999
快递物流,TS236,-5891.930000000002
医疗器械,TS237,-263379.77999999997
移动支付,TS238,-167948.62
大数据,TS239,-621741.5900000001
油品升级,TS240,-35252.39
低价股,TS241,-101607.46999999999
醋酸,TS242,-2141.38
流感,TS243,-158693.39
药品信息化追溯,TS244,-32583.340000000004
有色-铜,TS245,-63294.26000000001
云计算,TS246,-529788.5700000001
进口博览会,TS247,-4298.25
人民币贬值受益,TS248,-34123.740000000005
举牌股,TS249,-63620.2
住房租赁,TS250,10108.859999999999
高送转,TS251,-1366.95
自贸区,TS252,-60677.880000000005
耐火材料,TS253,-2416.81
人工智能,TS254,-451951.56999999995
草铵膦,TS255,6978.17
造纸,TS256,-3899.96
石墨烯,TS257,16793.32
互联网医疗,TS258,-250956.22999999995
眼科,TS259,-46618.16
污水处理,TS260,-56117.600000000006
区块链,TS261,-562242.75
玻璃,TS262,-32014.19
足球,TS263,-30902.29
工业互联网,TS264,-295955.61
指纹识别,TS265,-115509.00000000001
半导体,TS266,-576362.42
3D感应,TS267,-119755.16
无人商店,TS268,-67951.23000000001
智慧城市,TS269,-389820.4700000001
农业种植,TS270,-55252.71
3D玻璃,TS271,-41064.62
印染,TS272,-2868.91
西藏,TS273,-882.5899999999997
雄安-周边,TS274,-8525.289999999999
跨境电商,TS275,-2875.7099999999996
粘胶短纤,TS276,-4005.4599999999996
国产软件,TS277,-343033.95
智能音箱,TS278,-69840.92
天津国企改革,TS279,-34323.20000000001
自由贸易港,TS280,1444.019999999996
广西,TS281,-13161.27
股权转让,TS282,-416419.7200000001
电竞,TS283,-57413.65
彩票,TS284,-48355.62
钛白粉,TS285,-5290.02
复牌股,TS286,-3270.6099999999997
精准医疗,TS287,-57482.49
京东金融概念股,TS288,-24697.68
民爆,TS289,-10739.510000000004
VR&AR,TS290,-208029.65000000002
腾讯概念股,TS291,-206458.35000000003
家具家居,TS292,21048.510000000002
苹果产业链,TS293,-166911.36000000004
高校系,TS294,-93026.7
国产芯片,TS295,-524737.54
滴滴出行概念股,TS296,-33690.079999999994
共享经济,TS297,-79228.54000000001
期货概念,TS298,-51603.02
黑色家电,TS299,-3063.6299999999965
地热,TS300,-9125.050000000001
天津自贸区,TS301,-5578.42
迈瑞医疗概念股,TS302,-10740.56
医疗信息化,TS303,-91332.06999999999
动物保健,TS304,-57610.79
电子发票,TS305,-5456.0599999999995
股权争夺,TS306,-8577.52
国产操作系统,TS307,-179493.34
高铁轨交,TS308,-184431.04
体外诊断,TS309,-133013.77
机器视觉,TS310,-83500.95999999999
国资入股,TS311,-168396.38
包装印刷,TS312,6281.919999999999
智慧安防,TS313,-250772.81999999998
资产重组,TS314,-394077.58999999997
独角兽,TS315,-376625.54
年报季报,TS316,5353.619999999999
机器人,TS317,-161619.04000000004
LED,TS318,-160365.42
碳交易,TS319,-18110.75
手势识别,TS320,-26010.610000000004
ST股,TS321,-16501.379999999997
蚂蚁金服概念股,TS322,-26612.649999999994
充电桩,TS323,-100500.98
游戏,TS324,-126976.74
装修装饰,TS325,-20465.500000000004
有色-钛,TS326,-4718.860000000001
手游,TS327,-115025.85
虹膜识别,TS328,-19119.870000000003
广电,TS329,-36399.060000000005
深圳本地股/深汕合作,TS330,-119014.15999999999
化妆品,TS331,-42610.57000000001
体育产业,TS332,-28326.220000000005
影视,TS333,-28170.77
壳公司,TS334,-79546.03
黄金,TS335,-83024.34999999999
海南,TS336,15585.34
知识产权,TS337,-59322.04000000001
燃料乙醇,TS338,-9927.73
ST摘帽,TS339,-9080.46
破发次新,TS340,-6081.170000000001
上海自由贸易港,TS341,20938.939999999995
民航,TS342,15118.609999999999
宁夏,TS343,-4560.849999999999
人脸识别,TS344,-144289.55
强势人气股,TS345,-52518.81000000001
橡胶,TS346,5796.04
动漫,TS347,-36909.19999999999
苹果期货,TS348,-7302.49
无人银行,TS349,-35049.54
富勒烯,TS350,7674.18
科创板概念股,TS351,-199138.96000000002
创投,TS352,-121699.70999999998
电子车牌,TS353,-20838.39
雄安-设计,TS354,-2126.66
工业大麻,TS355,-19196.03
透明工厂,TS356,-28909.100000000002
人造肉,TS357,-9844.97
垃圾分类,TS358,-63842.54999999999
科创板,TS359,-60228.979999999996
科创板对标,TS360,-68749.85999999999
新型病毒,TS361,-262002.35000000003
